user_id,question_attempts,unique_questions,correct_answers,accuracy,lectures_watched,lecture_sessions,total_lecture_time_seconds,avg_lecture_duration_seconds,avg_completion,median_completion,explanation_sessions,explanations_viewed,total_explanation_time_seconds,avg_explanation_duration_seconds,skills_attempted,avg_skill_mastery,min_skill_mastery,max_skill_mastery,lecture_time_hours,questions_per_lecture,correct_rate_per_attempt
1,504,480,349.0,0.6924603174603174,24.0,29.0,8158.083,281.3132068965517,0.912637900010761,1.0,550.0,482.0,35286.149,64.15663454545454,157,0.712883442706599,0.0,1.0,2.266134166666667,21.0,0.6924603174603174
3,8,8,3.0,0.375,,,,,,,1.0,1.0,25.567,25.567,15,0.5666666666666667,0.0,1.0,,,0.375
4,612,476,450.0,0.7352941176470589,17.0,18.0,6037.414,335.4118888888889,0.962901268115942,1.0,626.0,458.0,25602.487,40.89854153354633,159,0.6767734085969627,0.0,1.0,1.6770594444444444,36.0,0.7352941176470589
5,205,197,134.0,0.6536585365853659,9.0,9.0,2249.353,249.92811111111112,0.8694712704752118,1.0,130.0,115.0,7814.117,60.10859230769231,113,0.6394066239655264,0.0,1.0,0.6248202777777778,22.77777777777778,0.6536585365853659
6,7,7,1.0,0.14285714285714285,,,,,,,,,,,11,0.09090909090909091,0.0,1.0,,,0.14285714285714285
7,1060,863,685.0,0.6462264150943396,102.0,112.0,19625.016,175.22335714285714,0.7116206963212538,0.8611014957264957,1164.0,874.0,30350.591,26.07439089347079,140,0.644415417624235,0.0,1.0,5.451393333333333,10.392156862745098,0.6462264150943396
8,12,12,5.0,0.4166666666666667,,,,,,,4.0,4.0,344.155,86.03875,18,0.4722222222222222,0.0,1.0,,,0.4166666666666667
9,34,33,12.0,0.35294117647058826,6.0,10.0,2120.55,212.055,,,34.0,33.0,2471.326,72.68605882352941,34,0.46130952380952384,0.0,1.0,0.5890416666666667,5.666666666666667,0.35294117647058826
10,1,1,1.0,1.0,,,,,,,1.0,1.0,18.233,18.233,1,1.0,1.0,1.0,,,1.0
11,2664,2298,1809.0,0.6790540540540541,76.0,83.0,20475.026,246.6870602409639,0.9243369630688153,1.0,2635.0,2135.0,56911.954,21.59846451612903,147,0.6997142796180306,0.0,1.0,5.687507222222223,35.05263157894737,0.6790540540540541
12,42,42,26.0,0.6190476190476191,,,,,,,34.0,32.0,5936.076,174.5904705882353,31,0.6817204301075269,0.0,1.0,,,0.6190476190476191
13,43,36,24.0,0.5581395348837209,,,,,,,62.0,35.0,2015.07,32.50112903225806,41,0.6102972231021011,0.0,1.0,,,0.5581395348837209
14,117,112,73.0,0.6239316239316239,2.0,2.0,350.36400000000003,175.18200000000002,0.981255617977528,0.981255617977528,125.0,110.0,3032.393,24.259144,81,0.654557560897746,0.0,1.0,0.09732333333333335,58.5,0.6239316239316239
15,1165,1069,536.0,0.46008583690987126,,,,,,,1293.0,1059.0,22923.29,17.72876256767208,98,0.4956556482357108,0.0,1.0,,,0.46008583690987126
16,6250,4096,4269.0,0.68304,139.0,166.0,55090.762,331.8720602409639,0.8174805470554607,1.0,4518.0,2222.0,405253.989,89.69765139442231,184,0.7015963161007358,0.0,1.0,15.302989444444446,44.96402877697842,0.68304
19,84,82,1.0,0.011904761904761904,,,,,,,155.0,142.0,3281.697,21.17223870967742,77,0.008948109306960982,0.0,0.2,,,0.011904761904761904
20,93,88,65.0,0.6989247311827957,2.0,2.0,47.821,23.9105,,,103.0,81.0,1688.35,16.391747572815532,69,0.7034742653735788,0.0,1.0,0.01328361111111111,46.5,0.6989247311827957
21,23,18,7.0,0.30434782608695654,1.0,1.0,3.483,3.483,0.012619565217391304,0.012619565217391304,159.0,21.0,101880.684,640.7590188679245,18,0.43981481481481477,0.0,1.0,0.0009675,23.0,0.30434782608695654
22,10,10,7.0,0.7,,,,,,,3.0,3.0,17.183,5.727666666666667,16,0.8125,0.0,1.0,,,0.7
37,706,633,214.0,0.3031161473087819,2.0,2.0,170.615,85.3075,0.5539861878453038,0.5539861878453038,365.0,223.0,11468.357,31.420156164383563,142,0.3920333686896314,0.0,1.0,0.047393055555555556,353.0,0.3031161473087819
47,8,8,1.0,0.125,,,,,,,,,,,9,0.1111111111111111,0.0,1.0,,,0.125
48,57,53,39.0,0.6842105263157895,7.0,7.0,1895.881,270.8401428571429,1.0,1.0,53.0,43.0,6701.268,126.43901886792453,47,0.7421985815602837,0.0,1.0,0.5266336111111112,8.142857142857142,0.6842105263157895
