user_id,bundle_id,bundle_start_timestamp,submit_timestamp,accuracy,valid_answers,source,action,previous_accuracy,delta_accuracy,reward,mastery_bonus,state,next_state,done,action_id
3,b2952,2019-08-24 04:25:46.548,2019-08-24 04:26:28.071,0.0,1,diagnosis,QUIZ,0.5,-0.5,-1.0,0,"(1, 1, 0, 0)","(0, 0, 0, 171)",False,1
3,b266,2019-08-24 04:26:28.115,2019-08-24 04:27:03.910,1.0,1,diagnosis,QUIZ,0.0,1.0,7.0,5,"(0, 0, 0, 171)","(2, 1, 0, 171)",False,1
3,b377,2019-08-24 04:27:03.987,2019-08-24 04:27:29.088,1.0,1,diagnosis,QUIZ,1.0,0.0,0.0,0,"(2, 1, 0, 171)","(2, 1, 0, 171)",False,1
3,b2170,2019-08-24 04:27:29.138,2019-08-24 04:28:19.769,0.0,1,diagnosis,QUIZ,1.0,-1.0,-2.0,0,"(2, 1, 0, 171)","(2, 1, 0, 171)",False,1
3,b3139,2019-08-24 04:28:19.817,2019-08-24 04:29:19.368,0.0,1,diagnosis,QUIZ,0.0,0.0,0.0,0,"(2, 1, 0, 171)","(2, 1, 0, 171)",False,1
3,b4644,2019-08-24 04:29:19.432,2019-08-24 04:32:19.031,1.0,1,diagnosis,QUIZ,0.0,1.0,7.0,5,"(2, 1, 0, 171)","(2, 1, 0, 171)",False,1
3,b4569,2019-08-24 04:34:25.533,2019-08-24 04:34:56.247,0.0,1,diagnosis,QUIZ,1.0,-1.0,-2.0,0,"(2, 1, 0, 171)","(1, 1, 0, 171)",False,1
3,b1498,2019-08-30 05:16:17.798,2019-08-30 05:18:16.983,0.0,1,tutor,QUIZ,0.0,0.0,0.0,0,"(1, 1, 0, 171)",,True,1
4,b3709,2019-08-26 01:16:29.057,2019-09-18 09:30:19.286,1.0,3,diagnosis,QUIZ,0.5,0.5,6.0,5,"(1, 1, 0, 0)","(2, 2, 0, 160)",False,1
4,b5575,2019-08-26 01:18:01.083,2019-08-29 07:37:34.987,1.0,3,diagnosis,QUIZ,1.0,0.0,0.0,0,"(2, 2, 0, 160)","(2, 2, 0, 160)",False,1
4,b2823,2019-08-26 01:18:32.929,2019-08-26 08:49:57.702,0.0,2,diagnosis,QUIZ,1.0,-1.0,-2.0,0,"(2, 2, 0, 160)","(2, 2, 0, 171)",False,1
4,b2552,2019-08-26 01:18:57.867,2019-08-29 08:03:46.276,1.0,3,diagnosis,QUIZ,0.0,1.0,7.0,5,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,1
4,b3790,2019-08-26 01:19:12.497,2019-08-26 08:21:58.633,0.5,2,diagnosis,QUIZ,1.0,-0.5,-1.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,1
4,b3647,2019-08-26 01:19:44.131,2019-08-26 08:55:47.089,0.0,2,diagnosis,QUIZ,0.5,-0.5,-1.0,0,"(2, 2, 0, 171)","(2, 1, 0, 171)",False,1
4,b3524,2019-08-26 01:20:30.064,2019-08-29 08:01:27.859,0.0,3,diagnosis,QUIZ,0.0,0.0,0.0,0,"(2, 1, 0, 171)","(1, 1, 0, 171)",False,1
4,b3852,2019-08-26 01:20:56.318,2019-08-26 09:11:29.854,1.0,2,diagnosis,QUIZ,0.0,1.0,7.0,5,"(1, 1, 0, 171)","(2, 1, 0, 171)",False,1
4,b5076,2019-08-26 06:23:53.614,2019-08-26 08:03:34.794,0.0,2,sprint,PRACTICE,1.0,-1.0,-2.0,0,"(2, 1, 0, 171)","(1, 0, 0, 171)",False,2
4,b3008,2019-08-26 06:24:37.655,2019-08-29 07:25:46.115,1.0,3,sprint,PRACTICE,0.0,1.0,7.0,5,"(1, 0, 0, 171)","(1, 1, 0, 171)",False,2
4,b3114,2019-08-26 06:24:55.438,2019-09-03 07:26:14.559,0.6666666666666666,3,sprint,PRACTICE,1.0,-0.33333333333333337,-0.6666666666666667,0,"(1, 1, 0, 171)","(1, 2, 0, 171)",False,2
4,b6803,2019-08-26 06:25:49.888,2019-08-26 08:06:23.235,1.0,2,sprint,PRACTICE,0.6666666666666666,0.33333333333333337,5.666666666666667,5,"(1, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b2443,2019-08-26 06:26:35.704,2019-08-26 08:21:24.634,1.0,2,sprint,PRACTICE,1.0,0.0,0.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b4735,2019-08-26 06:27:47.402,2019-08-26 08:18:20.620,1.0,2,sprint,PRACTICE,1.0,0.0,0.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b2692,2019-08-26 06:28:05.721,2019-08-26 08:35:33.517,1.0,2,sprint,PRACTICE,1.0,0.0,0.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b7046,2019-08-26 06:29:01.936,2019-08-26 08:54:03.525,1.0,2,sprint,PRACTICE,1.0,0.0,0.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b3871,2019-08-26 06:29:54.932,2019-08-26 09:17:28.764,1.0,2,sprint,PRACTICE,1.0,0.0,0.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b3603,2019-08-26 06:30:32.187,2019-08-26 09:09:20.177,1.0,2,sprint,PRACTICE,1.0,0.0,0.0,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b4799,2019-08-26 06:57:41.480,2019-08-26 11:40:03.408,0.6666666666666666,3,sprint,PRACTICE,1.0,-0.33333333333333337,-0.6666666666666667,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b6272,2019-08-26 06:58:34.031,2019-08-26 08:33:56.447,1.0,2,sprint,PRACTICE,0.6666666666666666,0.33333333333333337,5.666666666666667,5,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b4178,2019-08-26 06:58:59.201,2019-08-29 07:23:54.642,0.6666666666666666,3,sprint,PRACTICE,1.0,-0.33333333333333337,-0.6666666666666667,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b4556,2019-08-26 06:59:51.490,2019-08-26 08:19:46.641,0.5,2,sprint,PRACTICE,0.6666666666666666,-0.16666666666666663,-0.33333333333333326,0,"(2, 2, 0, 171)","(2, 2, 0, 171)",False,2
4,b2224,2019-08-26 07:00:41.578,2019-08-26 09:04:02.983,0.0,2,sprint,PRACTICE,0.5,-0.5,-1.0,0,"(2, 2, 0, 171)","(2, 1, 0, 171)",False,2
4,b7320,2019-08-26 07:01:18.411,2019-08-29 07:36:37.776,1.0,3,sprint,PRACTICE,0.0,1.0,7.0,5,"(2, 1, 0, 171)","(2, 1, 0, 171)",False,2
