algorithm,seed,test_average_return,mastery_success_rate,training_time_seconds
Q-Learning,0,32.1024619047619,0.392,0.4367799758911133
Monte Carlo Control,0,30.369269841269844,0.386,0.32247257232666016
Q-Learning,1,31.488747619047622,0.46,0.449648380279541
Monte Carlo Control,1,32.41808412698413,0.438,0.33052992820739746
Q-Learning,2,31.194893650793652,0.426,0.4428257942199707
Monte Carlo Control,2,31.71735238095238,0.406,0.32228899002075195
Q-Learning,3,30.055274603174606,0.458,0.4604942798614502
Monte Carlo Control,3,30.95633968253968,0.45,0.31357431411743164
Q-Learning,4,31.213755555555558,0.368,0.44837260246276855
Monte Carlo Control,4,31.08921428571429,0.392,0.31066322326660156
